"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"10964","경상북도","예천","일반국도","34호","경서로",1,"경상북도 칠곡군 왜관읍 2산업단지1길 218","경상북도 칠곡군 왜관읍 낙산리 98-2",35.94897578
"10965","경상북도","칠곡","군도","","부동3길",1,"경상북도 칠곡군 왜관읍 강변대로 665","경상북도 칠곡군 왜관읍 낙산리 729-15",35.93739968
"10966","경상북도","칠곡","기타","","강변대로",2,"경상북도 칠곡군 약목면 칠곡대로 797","경상북도 칠곡군 약목면 무림리 634",36.02692993
"10967","경상북도","칠곡","일반국도","4호","칠곡대로",1,"경상북도 고령군 다산면 다산산단로 187","경상북도 고령군 다산면 송곡리 1838",35.79371525
"10968","경상북도","고령","군도","","다산산단로",1,"경상북도 고령군 대가야읍 쾌빈3길 18","경상북도 고령군 대가야읍 쾌빈리 358-10",35.73371901
"10969","경상북도","고령","군도","","우륵로",2,"경상북도 고령군 다산면 다산로 719","경상북도 고령군 다산면 평리리 240-12",35.82392399
"10970","경상북도","고령","군도","","사문진로",1,"경상북도 봉화군 명호면 양곡길 4","경상북도 봉화군 명호면 양곡리 820-6",36.87131286
"10971","경상북도","봉화","기타","","봉명로",3,"경상북도 상주시 냉림1길 89","경상북도 상주시 냉림동 93-34",36.42348847
"10972","경상북도","상주","일반국도","25호","영남제일로",1,"경상북도 상주시 경상대로 2555","경상북도 상주시 가장동 659-1",36.37725536
"10973","경상북도","상주","일반국도","3호","경산대로",1,"경상북도 상주시 경상대로 3123","경상북도 상주시 만산동 산 66-8",36.42587695
"10974","경상북도","상주","일반국도","3호","경상대로",1,"경상북도 안동시 정백이골길 6","경상북도 안동시 안막동 110-1",36.58231157
"10975","경상북도","안동","일반국도","35호","퇴계로",2,"경상북도 안동시 광명로 7","경상북도 안동시 옥동 1310-5",36.55811081
"10976","경상북도","안동","시도","","하이마로",1,"경상북도 안동시 일직면 일직점곡로 381","경상북도 안동시 일직면 귀미리 110",36.45956004
"10977","경상북도","안동","기타","","일직점곡로",2,"경상북도 안동시 일직면 일직점곡로 381","경상북도 안동시 일직면 귀미리 110",36.45956004
"10978","경상북도","안동","기타","","일직점곡로",1,"경상북도 고령군 쌍림면 쌍쌍로 950","경상북도 고령군 쌍림면 안림리 482-1",35.69540091
"10979","경상북도","고령","기타","","쌍쌍로",2,"경상북도 칠곡군 지천면 영오덕천길 46-99","경상북도 칠곡군 지천면 덕산리 478",35.94441896
"10980","경상북도","칠곡","일반국도","4호","칠곡대로",2,"경상북도 칠곡군 왜관읍 중앙로 58","경상북도 칠곡군 왜관읍 왜관리 830",35.98008157
"10981","경상북도","구미","시도","","금오대로",1,"경상북도 영주시 순흥면 소백로 2547-6","경상북도 영주시 순흥면 읍내리 508",36.91329894
"10982","경상북도","영주","기타","","소백로",1,"경상북도 영주시 서원로 93","경상북도 영주시 휴천동 1740",36.81016386
"10983","경상북도","영주","시도","","서원로",2,"경상북도 포항시 북구 신덕로 199","경상북도 포항시 북구 양덕동 1202",36.08614916
"10984","경상북도","포항북부","시도","","신덕로",1,"경상북도 포항시 북구 우창로 43","경상북도 포항시 북구 우현동 205-2",36.05777105
